,Bal,Brick,District,Floor,ID,Kitsp,Lift,Link,Livesp,Metrdist,New,Nfloor,Price,Remont,Tel,Totsp,Walk,dist,lat,lon,rooms
1793,1,0,2,2,1793,9.0,1,http://www.cian.ru/sale/flat/148208635/,20.0,,0,17.0,4850000,косметический,1.0,38.0,,13.458312163202889,55.933544,37.554807,1
1794,–,0,2,7,1794,7.0,1,http://www.cian.ru/sale/flat/150171176/,19.0,10.0,0,9.0,4790000,косметический,1.0,34.0,0.0,11.104259736163577,55.88308,37.689536,1
1795,0,0,2,8,1795,8.0,1,http://www.cian.ru/sale/flat/149385763/,20.0,13.0,0,11.0,5430000,отсутствует,0.0,31.6,1.0,10.03327170089808,55.870925,37.682736,1
1796,–,0,2,8,1796,,1,http://www.cian.ru/sale/flat/150974742/,25.0,9.0,1,46.0,5436850,,,41.0,1.0,4.646620996523021,55.804072,37.590693,1
1797,1,0,2,12,1797,,1,http://www.cian.ru/sale/flat/136655819/,22.2,7.0,1,15.0,5440980,,,29.3,1.0,9.112749368595116,55.889114,37.591081,1
1798,–,0,2,7,1798,,–,http://www.cian.ru/sale/flat/150602297/,,,1,16.0,5440980,,,35.4,,7.660549733377531,55.848943,37.578073,1
1799,–,0,2,2,1799,7.0,1,http://www.cian.ru/sale/flat/149850360/,20.0,20.0,0,9.0,5450000,евроремонт,1.0,35.0,1.0,6.324678907818316,55.854304,37.616162,1
1800,–,0,2,1,1800,6.0,–,http://www.cian.ru/sale/flat/49576808/,29.0,20.0,0,5.0,5450000,косметический,,43.5,1.0,8.865590573585553,55.858049,37.675091,2
1801,–,0,2,5,1801,,–,http://www.cian.ru/sale/flat/150495932/,,,1,20.0,5454870,,,35.0,,7.660549733377531,55.848943,37.578073,1
1802,–,0,2,3,1802,,–,http://www.cian.ru/sale/flat/149835895/,,,1,20.0,5454870,,,34.9,,7.660549733377531,55.848943,37.578073,1
1803,–,0,2,4,1803,,–,http://www.cian.ru/sale/flat/149835897/,,,1,20.0,5454870,,,34.9,,7.660549733377531,55.848943,37.578073,1
1804,–,0,2,2,1804,,–,http://www.cian.ru/sale/flat/150868704/,,,1,18.0,5462730,,,37.7,,7.660549733377531,55.848943,37.578073,1
1805,–,0,2,2,1805,,–,http://www.cian.ru/sale/flat/149835751/,,,1,18.0,5463800,,,34.0,,7.660549733377531,55.848943,37.578073,1
1806,1,0,2,9,1806,7.0,1,http://www.cian.ru/sale/flat/138810831/,20.0,8.0,0,9.0,5480000,косметический,,35.0,1.0,6.805327691755927,55.859943,37.608311,1
1807,–,0,2,15,1807,,–,http://www.cian.ru/sale/flat/149835975/,,,1,16.0,5483460,,,35.5,,7.660549733377531,55.848943,37.578073,1
1808,–,0,2,4,1808,,–,http://www.cian.ru/sale/flat/149835898/,,,1,20.0,5486130,,,35.1,,7.660549733377531,55.848943,37.578073,1
1809,1,0,2,2,1809,6.2,1,http://www.cian.ru/sale/flat/151025953/,21.0,16.0,0,9.0,5490000,косметический,1.0,35.0,1.0,7.423713683627832,55.871945,37.615919,1
1810,–,0,2,2,1810,,–,http://www.cian.ru/sale/flat/149113021/,,,1,,5496080,,,36.8,,3.3582491437102515,55.806621,37.616962,студиявЖК«Комплексапартаментов«Отражение»»
1811,1,0,2,11,1811,10.0,1,http://www.cian.ru/sale/flat/146701695/,19.0,15.0,0,16.0,5500000,,1.0,37.0,1.0,12.026424340152527,55.901783,37.552337,1
1812,1,0,2,11,1812,7.0,0,http://www.cian.ru/sale/flat/50514126/,18.0,10.0,0,12.0,5500000,косметический,,32.7,1.0,8.752416278317613,55.892607,37.611814,1
1813,0,0,2,1,1813,5.5,0,http://www.cian.ru/sale/flat/146403904/,20.0,7.0,0,5.0,5500000,дизайнерский,0.0,31.0,0.0,6.406664872271339,55.834158,37.656757,1
1814,1,0,2,5,1814,7.0,1,http://www.cian.ru/sale/flat/149796947/,19.0,15.0,0,12.0,5500000,,0.0,36.0,1.0,12.01650852473215,55.904609,37.554439,1
1815,1,0,2,13,1815,10.1,1,http://www.cian.ru/sale/flat/150117046/,20.0,10.0,0,22.0,5500000,косметический,1.0,40.0,0.0,12.604096672800654,55.912592,37.551591,1
1816,–,0,2,8,1816,7.0,1,http://www.cian.ru/sale/flat/150693159/,19.0,5.0,0,9.0,5500000,евроремонт,0.0,33.0,1.0,8.497440355272175,55.867778,37.662641,1
1817,1,0,2,4,1817,7.0,1,http://www.cian.ru/sale/flat/151108932/,18.3,23.0,0,5.0,5500000,косметический,,36.5,1.0,10.355213681421338,55.868309,37.688342,1
1818,1,0,2,24,1818,8.0,1,http://www.cian.ru/sale/flat/150514799/,12.0,15.0,0,25.0,5500000,евроремонт,0.0,30.0,1.0,12.344416967115633,55.904064,37.549417,1
1819,1,0,2,6,1819,8.0,1,http://www.cian.ru/sale/flat/147758634/,19.0,,0,16.0,5500000,косметический,1.0,35.0,,8.885427691839018,55.894555,37.631586,1
1820,1,0,2,11,1820,7.2,1,http://www.cian.ru/sale/flat/150124156/,18.0,10.0,0,12.0,6800000,косметический,,34.0,1.0,5.8478583067880425,55.817309,37.659649,1
1821,–,0,2,9,1821,14.3,–,http://www.cian.ru/sale/flat/148588664/,73.1,,1,15.0,16798750,,,75.5,,2.5545985940266367,55.794102,37.623438,2
1822,1,0,2,13,1822,9.8,1,http://www.cian.ru/sale/flat/140345685/,17.3,1.0,1,24.0,7888786,,,40.1,1.0,6.184829750103753,55.848134,37.637506,1
1823,1,0,2,10,1823,7.0,1,http://www.cian.ru/sale/flat/150964821/,18.0,4.0,0,12.0,5500000,косметический,1.0,35.0,1.0,7.164935614915401,55.86595,37.608634,1
1824,1,0,2,6,1824,,1,http://www.cian.ru/sale/flat/40491809/,20.4,3.0,1,17.0,5522070,,,31.6,1.0,9.003390591305983,55.869347,37.669356,1
1825,1,0,2,6,1825,7.5,1,http://www.cian.ru/sale/flat/144399654/,23.0,15.0,0,9.0,5550000,косметический,0.0,38.0,1.0,7.564452011138792,55.872652,37.633329,2
1826,–,0,2,1,1826,9.0,0,http://www.cian.ru/sale/flat/150638402/,20.0,15.0,0,5.0,5600000,,,37.0,1.0,5.962785787144733,55.832176,37.590973,1
1827,1,0,2,2,1827,6.0,0,http://www.cian.ru/sale/flat/150834655/,29.0,15.0,0,5.0,5600000,евроремонт,1.0,46.0,0.0,13.237753233077665,55.878778,37.71716,2
1828,1,0,2,4,1828,6.0,–,http://www.cian.ru/sale/flat/149609045/,19.0,15.0,0,5.0,5600000,косметический,,31.5,1.0,6.880904363581406,55.839603,37.659766,1
1829,1,0,2,7,1829,6.4,1,http://www.cian.ru/sale/flat/150322631/,19.8,10.0,0,9.0,5600000,косметический,1.0,34.7,1.0,6.733391312628027,55.859837,37.611455,1
1830,1,0,2,4,1830,6.0,1,http://www.cian.ru/sale/flat/150521717/,23.0,10.0,0,14.0,5600000,косметический,0.0,38.0,0.0,13.251151206621731,55.877491,37.717833,2
